player_name,team_name,league,nationality,position,alt_position,ovr,team_id
Lukáš Hrádeck?,AS Monaco,Ligue 1 McDonald's,Finland,GK,,84,53
Lisandro Martínez,Man Utd,Premier League,Argentina,CB,,84,15
Diogo Costa,FC Porto,Liga Portugal,Portugal,GK,,84,27
Ferland Mendy,Real Madrid,LALIGA EA SPORTS,France,LB,,84,1
Christopher Nkunku,Chelsea,Premier League,France,CAM,['ST'],84,24
Dani Olmo,FC Barcelona,LALIGA EA SPORTS,Spain,CAM,['CM'],84,8
Exequiel Palacios,Leverkusen,Bundesliga,Argentina,CM,['CDM'],84,10
Benjamin Pavard,Inter,Serie A Enilive,France,CB,['RB'],84,7
Álex Remiro,Real Sociedad,LALIGA EA SPORTS,Spain,GK,,84,28
Cristian Romero,Spurs,Premier League,Argentina,CB,,84,16
Marcel Sabitzer,Borussia Dortmund,Bundesliga,Austria,CM,"['CAM', 'CDM']",84,11
Casemiro,Man Utd,Premier League,Brazil,CDM,['CM'],84,15
Guglielmo Vicario,Spurs,Premier League,Italy,GK,,84,16
Dušan Vlahovi?,Juventus,Serie A Enilive,Serbia,ST,,84,18
Kyle Walker,Manchester City,Premier League,England,RB,,84,2
Benjamin White,Arsenal,Premier League,England,RB,['CB'],84,4
Robert Andrich,Leverkusen,Bundesliga,Germany,CDM,"['CM', 'CB']",83,10
Ismaël Bennacer,AC Milan,Serie A Enilive,Algeria,CDM,"['CM', 'CAM']",83,14
Eduardo Camavinga,Real Madrid,LALIGA EA SPORTS,France,CM,"['CDM', 'LB']",83,1
Andreas Christensen,FC Barcelona,LALIGA EA SPORTS,Denmark,CB,['CDM'],83,8
Stefan de Vrij,Inter,Serie A Enilive,Holland,CB,,83,7
Ángel Di María,SL Benfica,Liga Portugal,Argentina,RM,"['CAM', 'RW']",83,29
Youssef En-Nesyri,Fenerbahçe,Trendyol Süper Lig,Morocco,ST,,83,30
Rafa Silva,Beþiktaþ,Trendyol Süper Lig,Portugal,CAM,['ST'],83,31
Cody Gakpo,Liverpool,Premier League,Holland,ST,['LW'],83,6
José María Giménez,Atlético de Madrid,LALIGA EA SPORTS,Uruguay,CB,,83,9
Leon Goretzka,FC Bayern München,Bundesliga,Germany,CM,['CDM'],83,3
Joško Gvardiol,Manchester City,Premier League,Croatia,LB,['CB'],83,2
Kai Havertz,Arsenal,Premier League,Germany,ST,['CM'],83,4
Lucas Hernández,Paris SG,Ligue 1 McDonald's,France,CB,['LB'],83,5
Mauro Icardi,Galatasaray,Trendyol Süper Lig,Argentina,ST,,83,12
Kim Min Jae,FC Bayern München,Bundesliga,Korea Republic,CB,,83,3
Ibrahima Konaté,Liverpool,Premier League,France,CB,,83,6
Teun Koopmeiners,Juventus,Serie A Enilive,Holland,CM,['CAM'],83,18
Mateo Kovacic,Manchester City,Premier League,Croatia,CM,['CDM'],83,2
Konrad Laimer,FC Bayern München,Bundesliga,Austria,CDM,"['CM', 'RB']",83,3
Robin Le Normand,Atlético de Madrid,LALIGA EA SPORTS,Spain,CB,,83,9
Marcos Llorente,Atlético de Madrid,LALIGA EA SPORTS,Spain,RM,"['RB', 'CM', 'RW']",83,9
Manuel Locatelli,Juventus,Serie A Enilive,Italy,CDM,['CM'],83,18
Donyell Malen,Aston Villa,Premier League,Holland,RM,"['ST', 'LM', 'RW']",83,17
Gabriel Martinelli,Arsenal,Premier League,Brazil,LW,"['RW', 'LM']",83,4
Henrikh Mkhitaryan,Inter,Serie A Enilive,Armenia,CM,['CAM'],83,7
Morata,AC Milan,Serie A Enilive,Spain,ST,,83,14
Gerard Moreno,Villarreal CF,LALIGA EA SPORTS,Spain,ST,"['RW', 'CAM']",83,32
André Onana,Man Utd,Premier League,Cameroon,GK,,83,15
Willi Orban,RB Leipzig,Bundesliga,Hungary,CB,,83,23
Gavi,FC Barcelona,LALIGA EA SPORTS,Spain,CM,['LW'],83,8
Parejo,Villarreal CF,LALIGA EA SPORTS,Spain,CM,['CDM'],83,32
Lorenzo Pellegrini,AS Roma,Serie A Enilive,Italy,CAM,['CM'],83,13
Pedro Gonçalves,Sporting CP,Liga Portugal,Portugal,LW,"['CAM', 'CM', 'LM']",83,26
Jordan Pickford,Everton,Premier League,England,GK,,83,33
Nick Pope,Newcastle Utd,Premier League,England,GK,,83,21
Pedro Porro,Spurs,Premier League,Spain,RB,,83,16
Ivan Provedel,Lazio,Serie A Enilive,Italy,GK,,83,34
Christian Pulisic,AC Milan,Serie A Enilive,United States,RW,"['RM', 'LW']",83,14
David Raya,Arsenal,Premier League,Spain,GK,,83,4
Koke,Atlético de Madrid,LALIGA EA SPORTS,Spain,CDM,['CM'],83,9
Guido Rodríguez,West Ham,Premier League,Argentina,CDM,['CM'],83,35
Alessio Romagnoli,Lazio,Serie A Enilive,Italy,CB,,83,34
Xavi Simons,RB Leipzig,Bundesliga,Holland,CAM,['LW'],83,23
Douglas Luiz,Juventus,Serie A Enilive,Brazil,CM,['CDM'],83,18
Edmond Tapsoba,Leverkusen,Bundesliga,Burkina Faso,CB,,83,10
Nuno Mendes,Paris SG,Ligue 1 McDonald's,Portugal,LB,,83,5
Marcus Thuram,Inter,Serie A Enilive,France,ST,,83,7
Fikayo Tomori,AC Milan,Serie A Enilive,England,CB,,83,14
Lucas Torreira,Galatasaray,Trendyol Süper Lig,Uruguay,CDM,['CM'],83,12
Kieran Trippier,Newcastle Utd,Premier League,England,RB,,83,21
Leandro Trossard,Arsenal,Premier League,Belgium,LW,"['ST', 'LM']",83,4
Viktor Tsygankov,Girona FC,LALIGA EA SPORTS,Ukraine,RM,"['CM', 'CAM', 'RW']",83,36
Mattia Zaccagni,Lazio,Serie A Enilive,Italy,LW,"['CAM', 'LM']",83,34
Duván Zapata,Torino,Serie A Enilive,Colombia,ST,,83,37
Isco,Real Betis,LALIGA EA SPORTS,Spain,CAM,"['LM', 'CM']",82,38
Joelinton,Newcastle Utd,Premier League,Brazil,CM,['LW'],82,21
Pepê,FC Porto,Liga Portugal,Brazil,CAM,"['RM', 'LM']",82,27
Leon Bailey,Aston Villa,Premier League,Jamaica,RM,"['ST', 'RW']",82,17
Oliver Baumann,TSG Hoffenheim,Bundesliga,Germany,GK,,82,39
Victor Boniface,Leverkusen,Bundesliga,Nigeria,ST,,82,10
Sven Botman,Newcastle Utd,Premier League,Holland,CB,,82,21
Jarrod Bowen,West Ham,Premier League,England,RM,"['ST', 'RW']",82,35
Moisés Caicedo,Chelsea,Premier League,Ecuador,CDM,['CM'],82,24
Emre Can,Borussia Dortmund,Bundesliga,Germany,CDM,['CB'],82,11
Marco Carnesecchi,Atalanta,Serie A Enilive,Italy,GK,,82,40
Lucas Paquetá,West Ham,Premier League,Brazil,LM,"['CAM', 'LW']",82,35
Ángel Correa,Atlético de Madrid,LALIGA EA SPORTS,Argentina,ST,['RM'],82,9
Marc Cucurella,Chelsea,Premier League,Spain,LB,,82,24
Danilo,Juventus,Serie A Enilive,Brazil,CB,['RB'],82,18
Diogo Dalot,Man Utd,Premier League,Portugal,RB,['LB'],82,15
Sergi Darder,RCD Mallorca,LALIGA EA SPORTS,Spain,CM,"['CAM', 'CDM']",82,41
Alphonso Davies,FC Bayern München,Bundesliga,Canada,LB,['LM'],82,3
Giovanni Di Lorenzo,SSC Napoli,Serie A Enilive,Italy,RB,['RM'],82,20
Brahim,Real Madrid,LALIGA EA SPORTS,Morocco,CAM,"['RW', 'LW']",82,1
Denzel Dumfries,Inter,Serie A Enilive,Holland,RB,['RM'],82,7
Edin D?eko,Fiorentina,Serie A Enilive,Bosnia and Herzegovina,ST,,82,68
Enzo Fernández,Chelsea,Premier League,Argentina,CM,['CDM'],82,24
Gabriel Jesus,Arsenal,Premier League,Brazil,ST,,82,4
Jorginho,Arsenal,Premier League,Italy,CDM,['CM'],82,4
Pau Torres,Aston Villa,Premier League,Spain,CB,,82,17
Niclas Füllkrug,West Ham,Premier League,Germany,ST,,82,35
Gayà,Valencia CF,LALIGA EA SPORTS,Spain,LB,,82,22
Paulo Gazzaniga,Girona FC,LALIGA EA SPORTS,Argentina,GK,,82,36
Matthias Ginter,SC Freiburg,Bundesliga,Germany,CB,,82,42
Serge Gnabry,FC Bayern München,Bundesliga,Germany,RM,"['ST', 'LM', 'RW']",82,3
Anthony Gordon,Newcastle Utd,Premier League,England,LW,['LM'],82,21
Raphaël Guerreiro,FC Bayern München,Bundesliga,Portugal,LB,['CM'],82,3
Péter Gulácsi,RB Leipzig,Bundesliga,Hungary,GK,,82,23
Yangel Herrera,Girona FC,LALIGA EA SPORTS,Venezuela,CDM,['CM'],82,36
Jonas Hofmann,Leverkusen,Bundesliga,Germany,CAM,['ST'],82,10
Ciro Immobile,Bologna,Serie A Enilive,Italy,ST,,82,52
Reece James,Chelsea,Premier League,England,RB,,82,24
Boubacar Kamara,Aston Villa,Premier League,France,CDM,['CM'],82,17
Randal Kolo Muani,Paris SG,Ligue 1 McDonald's,France,ST,,82,5
Filip Kostic,Juventus,Serie A Enilive,Serbia,LM,"['LB', 'LW']",82,18
Mohammed Kudus,West Ham,Premier League,Ghana,RM,"['CAM', 'LM', 'RW']",82,35
Dejan Kulusevski,Spurs,Premier League,Sweden,RM,"['RW', 'CAM']",82,16
Alexandre Lacazette,OL,Ligue 1 McDonald's,France,ST,,82,43
Bernd Leno,Fulham,Premier League,Germany,GK,,82,44
Stanislav Lobotka,SSC Napoli,Serie A Enilive,Slovakia,CM,['CDM'],82,20
Ademola Lookman,Atalanta,Serie A Enilive,Nigeria,ST,,82,40
Romelu Lukaku,SSC Napoli,Serie A Enilive,Belgium,ST,,82,20
Gianluca Mancini,AS Roma,Serie A Enilive,Italy,CB,,82,13
John McGinn,Aston Villa,Premier League,Scotland,CM,"['CDM', 'RM']",82,17
Nahuel Molina,Atlético de Madrid,LALIGA EA SPORTS,Argentina,RB,,82,9
Savinho,Manchester City,Premier League,Brazil,LW,['LM'],82,2
Darwin Núñez,Liverpool,Premier League,Uruguay,ST,,82,6
Michael Olise,FC Bayern München,Bundesliga,France,RM,"['RW', 'CAM']",82,3
Oyarzabal,Real Sociedad,LALIGA EA SPORTS,Spain,ST,"['LW', 'LM']",82,28
Thomas Partey,Arsenal,Premier League,Ghana,CDM,['CM'],82,4
Tijjani Reijnders,AC Milan,Serie A Enilive,Holland,CM,"['CDM', 'CAM']",82,14
Fabián Ruiz,Paris SG,Ligue 1 McDonald's,Spain,CM,['CDM'],82,5
Brice Samba,RC Lens,Ligue 1 McDonald's,France,GK,,82,45
Sancet,Athletic Club,LALIGA EA SPORTS,Spain,CAM,"['CM', 'ST']",82,19
Jadon Sancho,Chelsea,Premier League,England,LM,"['RM', 'LW']",82,24
Fabian Schär,Newcastle Utd,Premier League,Switzerland,CB,,82,21
Patrik Schick,Leverkusen,Bundesliga,Czech Republic,ST,,82,10
Luke Shaw,Man Utd,Premier League,England,LB,['CB'],82,15
Alexander Sørloth,Atlético de Madrid,LALIGA EA SPORTS,Norway,ST,,82,9
Niklas Süle,Borussia Dortmund,Bundesliga,Germany,CB,['RB'],82,11
Kevin Trapp,Frankfurt,Bundesliga,Germany,GK,,82,46
Destiny Udogie,Spurs,Premier League,Italy,LB,,82,16
Dayot Upamecano,FC Bayern München,Bundesliga,France,CB,,82,3
Micky van de Ven,Spurs,Premier League,Holland,CB,,82,16
Raphaël Varane,Como,Serie A Enilive,France,CB,,82,47
Iñaki Williams,Athletic Club,LALIGA EA SPORTS,Ghana,RM,"['ST', 'RW']",82,19
Edson Álvarez,West Ham,Premier League,Mexico,CDM,['CM'],81,35
Yeray,Athletic Club,LALIGA EA SPORTS,Spain,CB,,81,19
Waldemar Anton,Borussia Dortmund,Bundesliga,Germany,CB,['RB'],81,11
Alphonse Areola,West Ham,Premier League,France,GK,,81,35
Marco Asensio,Paris SG,Ligue 1 McDonald's,Spain,RW,"['CM', 'RM']",81,5
Balde,FC Barcelona,LALIGA EA SPORTS,Spain,LB,"['RB', 'LM']",81,8
Rodrigo Bentancur,Spurs,Premier League,Uruguay,CM,['CDM'],81,16
Álex Berenguer,Athletic Club,LALIGA EA SPORTS,Spain,LM,"['RM', 'LW']",81,19
Bryan Cristante,AS Roma,Serie A Enilive,Italy,CM,"['CDM', 'CB']",81,13
Ricardo Horta,SC Braga,Liga Portugal,Portugal,CAM,"['LM', 'RM']",81,48
Rui Silva,Real Betis,LALIGA EA SPORTS,Portugal,GK,,81,38
Matteo Darmian,Inter,Serie A Enilive,Italy,RB,"['CB', 'RM']",81,7
Jonathan David,Juventus,Serie A Enilive,Canada,ST,,81,18
Richarlison,Spurs,Premier League,Brazil,ST,['LM'],81,16
Luuk de Jong,PSV,Eredivisie,Holland,ST,,81,50
Fred,Fenerbahçe,Trendyol Süper Lig,Brazil,CDM,['CM'],81,30
Eberechi Eze,Crystal Palace,Premier League,England,CAM,"['CM', 'LM']",81,51
Youssouf Fofana,AC Milan,Serie A Enilive,France,CDM,['CM'],81,14
Davide Frattesi,Inter,Serie A Enilive,Italy,CM,['CAM'],81,7
Remo Freuler,Bologna,Serie A Enilive,Switzerland,CDM,['CM'],81,52
Conor Gallagher,Atlético de Madrid,LALIGA EA SPORTS,England,CM,"['CAM', 'CDM']",81,9
Alexandr Golovin,AS Monaco,Ligue 1 McDonald's,Russia,LM,"['CAM', 'LW']",81,53
Pascal Groß,Borussia Dortmund,Bundesliga,Germany,CDM,['CM'],81,11
Marc Guéhi,Crystal Palace,Premier League,England,CB,,81,51
Dávid Hancko,Feyenoord,Eredivisie,Slovakia,CB,['LB'],81,54
Benjamin Henrichs,RB Leipzig,Bundesliga,Germany,RB,"['RM', 'LB']",81,23
Piero Hincapié,Leverkusen,Bundesliga,Ecuador,CB,['LB'],81,10
Ferdi Kadýoðlu,Brighton,Premier League,Turkey,LB,['RB'],81,55
Daichi Kamada,Crystal Palace,Premier League,Japan,CAM,['CM'],81,51
Presnel Kimpembe,Paris SG,Ligue 1 McDonald's,France,CB,,81,5
Orkun Kökçü,Beþiktaþ,Trendyol Süper Lig,Turkey,CM,"['CAM', 'CDM']",81,31
Ezri Konsa,Aston Villa,Premier League,England,CB,['RB'],81,17
Odilon Kossounou,Atalanta,Serie A Enilive,Côte d'Ivoire,CB,['RB'],81,40
Andrej Kramari?,TSG Hoffenheim,Bundesliga,Croatia,ST,"['CAM', 'CM']",81,39
Takefusa Kubo,Real Sociedad,LALIGA EA SPORTS,Japan,RW,"['ST', 'RM']",81,28
Ruben Loftus-Cheek,AC Milan,Serie A Enilive,England,CM,['CAM'],81,14
Andriy Lunin,Real Madrid,LALIGA EA SPORTS,Ukraine,GK,,81,1
Iñigo Martínez,FC Barcelona,LALIGA EA SPORTS,Spain,CB,,81,8
Noussair Mazraoui,Man Utd,Premier League,Morocco,RB,['LB'],81,15
Brais Méndez,Real Sociedad,LALIGA EA SPORTS,Spain,CM,"['RM', 'CAM']",81,28
Alex Meret,SSC Napoli,Serie A Enilive,Italy,GK,,81,20
Arkadiusz Milik,Juventus,Serie A Enilive,Poland,ST,,81,18
Kaoru Mitoma,Brighton,Premier League,Japan,LM,['LW'],81,55
Riccardo Orsolini,Bologna,Serie A Enilive,Italy,RM,['RW'],81,52
Stefan Ortega,Manchester City,Premier League,Germany,GK,,81,2
Nicolás Otamendi,SL Benfica,Liga Portugal,Argentina,CB,,81,29
Isi Palazón,Rayo Vallecano,LALIGA EA SPORTS,Spain,RM,"['CAM', 'LM', 'RW']",81,56
Aaron Ramsdale,Southampton,Premier League,England,GK,,81,57
Marcus Rashford,Man Utd,Premier League,England,LM,"['ST', 'LW']",81,15
David Raum,RB Leipzig,Bundesliga,Germany,LB,['LM'],81,23
Stefan Savic,Trabzonspor,Trendyol Süper Lig,Montenegro,CB,,77,58
Xaver Schlager,RB Leipzig,Bundesliga,Austria,CDM,['CM'],81,23
Jerdy Schouten,PSV,Eredivisie,Holland,CDM,"['CB', 'CM']",81,50
Ellyes Skhiri,Frankfurt,Bundesliga,Tunisia,CDM,['CM'],81,46
Milan Škriniar,Fenerbahçe,Trendyol Süper Lig,Slovakia,CB,,81,30
Dominic Solanke,Spurs,Premier League,England,ST,,81,16
David Soria,Getafe CF,LALIGA EA SPORTS,Spain,GK,,81,59
Raheem Sterling,Arsenal,Premier League,England,LM,"['RM', 'LW']",81,4
Dominik Szoboszlai,Liverpool,Premier League,Hungary,CAM,['CM'],81,6
Youri Tielemans,Aston Villa,Premier League,Belgium,CM,"['CDM', 'CAM']",81,17
Manuel Ugarte,Man Utd,Premier League,Uruguay,CDM,['CM'],81,15
Deniz Undav,VfB Stuttgart,Bundesliga,Germany,ST,['CAM'],81,60
Álvaro Valles,UD Las Palmas,LALIGA EA SPORTS,Spain,GK,,81,61
Lucas Vázquez,Real Madrid,LALIGA EA SPORTS,Spain,RB,,81,1
Joey Veerman,PSV,Eredivisie,Holland,CM,"['CDM', 'CAM']",81,50
Vivian,Athletic Club,LALIGA EA SPORTS,Spain,CB,,81,19
Callum Wilson,Newcastle Utd,Premier League,England,ST,,81,21
Lamine Yamal,FC Barcelona,LALIGA EA SPORTS,Spain,RW,"['LW', 'RM']",81,8
Wilfried Zaha,OL,Ligue 1 McDonald's,Côte d'Ivoire,LM,['LW'],81,43
Piotr Zielinski,Inter,Serie A Enilive,Poland,CM,['CDM'],81,7
Zubimendi,Real Sociedad,LALIGA EA SPORTS,Spain,CDM,['CM'],81,28
Ali Al Musrati,Beþiktaþ,Trendyol Süper Lig,Libya,CDM,['CM'],76,31
Toby Alderweireld,Royal Antwerp FC,1A Pro League,Belgium,CB,,80,62
Joachim Andersen,Fulham,Premier League,Denmark,CB,,80,44
Benjamin André,LOSC Lille,Ligue 1 McDonald's,France,CDM,['CM'],80,49
Maximilian Arnold,VfL Wolfsburg,Bundesliga,Germany,CDM,['CM'],80,63
Fredrik Aursnes,SL Benfica,Liga Portugal,Norway,RB,"['LB', 'LM']",80,29
Simon Banza,SC Braga,Liga Portugal,Congo DR,ST,,80,48
Bradley Barcola,Paris SG,Ligue 1 McDonald's,France,LW,"['RW', 'LM']",80,5
Harvey Barnes,Newcastle Utd,Premier League,England,LW,['LM'],80,21
Christoph Baumgartner,RB Leipzig,Bundesliga,Austria,CAM,['ST'],80,23
Walter Benítez,PSV,Eredivisie,Argentina,GK,,80,50
Gonçalo Inácio,Sporting CP,Liga Portugal,Portugal,CB,"['LB', 'CDM']",80,26
Yves Bissouma,Spurs,Premier League,Mali,CDM,['CM'],80,16
Daley Blind,Girona FC,LALIGA EA SPORTS,Holland,CB,"['LB', 'CDM']",80,36
Yan Couto,Borussia Dortmund,Bundesliga,Brazil,RM,"['RB', 'RW']",80,11
Alessandro Buongiorno,SSC Napoli,Serie A Enilive,Italy,CB,,80,20
Davide Calabria,AC Milan,Serie A Enilive,Italy,RB,,80,14
Lucas Chevalier,LOSC Lille,Ligue 1 McDonald's,France,GK,,80,49
Samuel Chukwueze,AC Milan,Serie A Enilive,Nigeria,RW,['RM'],80,14
Jonathan Clauss,OGC Nice,Ligue 1 McDonald's,France,RB,['RM'],80,64
Kevin Danso,RC Lens,Ligue 1 McDonald's,Austria,CB,,80,45
Evanilson,AFC Bournemouth,Premier League,Brazil,ST,,80,65
De Marcos,Athletic Club,LALIGA EA SPORTS,Spain,RB,,80,19
Michele Di Gregorio,Juventus,Serie A Enilive,Italy,GK,,80,18
Eric Dier,AS Monaco,Ligue 1 McDonald's,England,CB,,80,53
Jérémy Doku,Manchester City,Premier League,Belgium,LW,"['RW', 'LM']",80,2
Éderson,Atalanta,Serie A Enilive,Brazil,CM,['CAM'],80,40
Wataru Endo,Liverpool,Premier League,Japan,CDM,['CM'],80,6
Pervis Estupiñán,Brighton,Premier League,Ecuador,LB,,80,55
